epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3542,1.56655,2.31585,1.1613,0.01448,0.83883,0.4429,0.2424,1.41512,3.05001,1.13566,0.000655172,0.000655172,0.000655172
2,31.725,1.45844,1.45993,1.13224,0.85997,0.57362,0.74647,0.41571,1.50699,1.99205,1.1787,0.00130875,0.00130875,0.00130875
3,43.9109,1.4201,1.25376,1.11579,0.79638,0.72894,0.80735,0.4337,1.47332,1.29702,1.21396,0.00194913,0.00194913,0.00194913
4,57.2688,1.42828,1.17572,1.15782,0.80853,0.7734,0.78501,0.46741,1.38076,1.6592,1.21469,0.0019406,0.0019406,0.0019406
5,73.8131,1.40486,1.02862,1.11884,0.89874,0.76398,0.86946,0.52061,1.34896,1.00778,1.15306,0.0019208,0.0019208,0.0019208
6,88.8982,1.3392,0.95998,1.10266,0.8948,0.81685,0.90906,0.56073,1.27445,0.8709,1.1069,0.001901,0.001901,0.001901
7,103.895,1.36141,0.95092,1.09441,0.88272,0.77194,0.85301,0.52994,1.31446,0.94045,1.13224,0.0018812,0.0018812,0.0018812
8,119.833,1.30305,0.87734,1.08976,0.89747,0.83368,0.90524,0.54191,1.31921,1.05009,1.10705,0.0018614,0.0018614,0.0018614
9,133.492,1.27844,0.85935,1.06687,0.94295,0.84249,0.94178,0.58323,1.24241,0.78378,1.07908,0.0018416,0.0018416,0.0018416
10,146.545,1.26837,0.83342,1.06045,0.90063,0.84659,0.92848,0.5668,1.28636,0.78579,1.11249,0.0018218,0.0018218,0.0018218
11,161.666,1.2632,0.82433,1.06954,0.87965,0.87012,0.93949,0.60851,1.19375,0.78844,1.07911,0.001802,0.001802,0.001802
12,177.698,1.23121,0.80589,1.04852,0.87801,0.86813,0.92232,0.5314,1.30805,0.79158,1.08844,0.0017822,0.0017822,0.0017822
13,191.748,1.2332,0.80184,1.05871,0.89369,0.86219,0.92266,0.55716,1.24809,0.79422,1.06963,0.0017624,0.0017624,0.0017624
14,207.465,1.22642,0.76857,1.04898,0.92093,0.87458,0.94726,0.62612,1.16724,0.74162,1.06554,0.0017426,0.0017426,0.0017426
15,221.498,1.23132,0.7515,1.03099,0.92785,0.89505,0.95427,0.61935,1.16891,0.70669,1.05826,0.0017228,0.0017228,0.0017228
16,234.036,1.18653,0.7259,1.02683,0.94177,0.85897,0.94399,0.61611,1.16347,0.6983,1.04513,0.001703,0.001703,0.001703
17,248.417,1.17487,0.7188,1.02645,0.94385,0.89284,0.962,0.63514,1.13987,0.6641,1.04523,0.0016832,0.0016832,0.0016832
18,262.423,1.18778,0.72424,1.03074,0.91843,0.88673,0.9526,0.60036,1.19984,0.70448,1.06562,0.0016634,0.0016634,0.0016634
19,275.007,1.17538,0.71293,1.01889,0.91753,0.89927,0.96545,0.61704,1.1848,0.66037,1.04338,0.0016436,0.0016436,0.0016436
20,289.373,1.16426,0.69726,1.01417,0.89575,0.88131,0.94873,0.61627,1.14372,0.67525,1.04844,0.0016238,0.0016238,0.0016238
21,304.402,1.16995,0.69396,1.01499,0.9464,0.90552,0.97197,0.65324,1.11442,0.61892,1.02728,0.001604,0.001604,0.001604
22,317.473,1.14446,0.66741,1.00543,0.92795,0.89744,0.95737,0.64949,1.0907,0.64766,1.02266,0.0015842,0.0015842,0.0015842
23,329.327,1.13589,0.69053,1.00498,0.91379,0.92125,0.96259,0.63971,1.14959,0.64851,1.03453,0.0015644,0.0015644,0.0015644
24,341.075,1.13004,0.66241,1.00483,0.91952,0.89744,0.96206,0.64501,1.11077,0.63194,1.03038,0.0015446,0.0015446,0.0015446
25,352.86,1.14634,0.6696,1.01104,0.89563,0.89586,0.9523,0.59069,1.23223,0.6741,1.06367,0.0015248,0.0015248,0.0015248
26,365.263,1.14245,0.67795,1.01006,0.93921,0.9359,0.97487,0.66066,1.1,0.61285,1.01978,0.001505,0.001505,0.001505
27,377.242,1.10986,0.65647,1.00121,0.92537,0.84432,0.9346,0.62838,1.13893,0.69614,1.05304,0.0014852,0.0014852,0.0014852
28,389.269,1.13457,0.66757,1.00491,0.92886,0.91941,0.97017,0.64016,1.14241,0.6177,1.02325,0.0014654,0.0014654,0.0014654
29,401.236,1.09962,0.64696,0.99039,0.94814,0.9041,0.96946,0.62922,1.13962,0.6011,1.03179,0.0014456,0.0014456,0.0014456
30,413.016,1.11982,0.65773,0.99447,0.93561,0.93223,0.98024,0.65754,1.10141,0.59814,1.02267,0.0014258,0.0014258,0.0014258
31,424.623,1.1187,0.64053,0.99685,0.94171,0.91733,0.96953,0.64038,1.15575,0.62677,1.03075,0.001406,0.001406,0.001406
32,436.456,1.10586,0.63563,0.99544,0.93133,0.91758,0.96835,0.64614,1.1171,0.59389,1.01774,0.0013862,0.0013862,0.0013862
33,448.248,1.09012,0.63413,0.99564,0.95046,0.92308,0.97349,0.66968,1.06745,0.58544,1.00572,0.0013664,0.0013664,0.0013664
34,460.07,1.07857,0.62565,0.97895,0.94036,0.89516,0.96297,0.63678,1.20105,0.6349,1.0379,0.0013466,0.0013466,0.0013466
35,471.85,1.09697,0.62585,0.97489,0.92917,0.93701,0.97424,0.67584,1.04311,0.57167,0.98839,0.0013268,0.0013268,0.0013268
36,483.707,1.08169,0.62033,0.97884,0.95819,0.92343,0.98085,0.67686,1.07078,0.57205,1.01338,0.001307,0.001307,0.001307
37,495.369,1.05235,0.59681,0.97992,0.94414,0.92864,0.97508,0.68412,1.03755,0.56896,0.99456,0.0012872,0.0012872,0.0012872
38,506.947,1.0677,0.60495,0.97575,0.93764,0.9088,0.96888,0.65707,1.09678,0.59966,1.02356,0.0012674,0.0012674,0.0012674
39,518.599,1.07152,0.59699,0.96882,0.9457,0.9011,0.96684,0.66875,1.06804,0.59554,1.01426,0.0012476,0.0012476,0.0012476
40,530.264,1.05341,0.59686,0.97262,0.95339,0.91209,0.9746,0.67519,1.06689,0.56983,1.00775,0.0012278,0.0012278,0.0012278
41,542.001,1.04899,0.58193,0.96448,0.94604,0.93114,0.98005,0.70236,1.00699,0.53154,0.98527,0.001208,0.001208,0.001208
42,553.814,1.04139,0.58785,0.97787,0.94612,0.9304,0.97389,0.69498,1.0299,0.55157,0.99586,0.0011882,0.0011882,0.0011882
43,565.65,1.04684,0.58439,0.9587,0.94813,0.91758,0.97664,0.66812,1.07511,0.57088,1.00603,0.0011684,0.0011684,0.0011684
44,577.492,1.03228,0.58291,0.96556,0.95011,0.91209,0.97239,0.66288,1.10749,0.55813,1.01582,0.0011486,0.0011486,0.0011486
45,589.222,1.04138,0.5783,0.96426,0.94421,0.92991,0.97958,0.64407,1.1363,0.58424,1.03249,0.0011288,0.0011288,0.0011288
46,601.061,1.02543,0.58434,0.96991,0.95138,0.91392,0.97485,0.66715,1.07934,0.54962,1.01368,0.001109,0.001109,0.001109
47,612.843,1.04151,0.58704,0.96897,0.9548,0.92857,0.97491,0.6659,1.06141,0.56181,1.00937,0.0010892,0.0010892,0.0010892
48,624.558,1.00219,0.56502,0.94482,0.9563,0.91758,0.97537,0.66898,1.08122,0.54865,1.01469,0.0010694,0.0010694,0.0010694
49,636.323,1.00279,0.55686,0.94888,0.95924,0.94821,0.98628,0.69418,1.03767,0.52548,0.99289,0.0010496,0.0010496,0.0010496
50,647.987,1.0198,0.56509,0.96265,0.96909,0.92857,0.97781,0.68535,1.06903,0.54199,1.00934,0.0010298,0.0010298,0.0010298
51,659.9,1.00055,0.55367,0.94508,0.94568,0.92465,0.97344,0.68733,1.04409,0.54408,1.00516,0.00101,0.00101,0.00101
